PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints,Year
Ameer Abdullah,2552374,RB,CAR,,,,574.0,2.0,23.0,162.0,1.0,,,,5.0,4.23,136.0,23.0,159.0,23.0,36.0,64.0,6.0,17.0,3.0,12,101.9,2015
Kyle Juszczyk,2540230,RB,SF,,,,3.0,,41.0,321.0,4.0,,,,,3.78,2.0,41.0,43.0,41.0,56.0,73.0,10.0,8.0,7.0,17,80.3,2015
Michael Burton,2552636,RB,KC,,,,2.0,,5.0,27.0,1.0,,,,,,,,,,,,,,,25,17.3,2015
Cordarrelle Patterson,2540145,RB,ATL,,,,15.0,,2.0,10.0,,2.0,,,1.0,3.93,2.0,2.0,4.0,2.0,2.0,100.0,,,,27,13.5,2015
Ezekiel Elliott,2555224,RB,DAL,,,,1631.0,15.0,32.0,363.0,1.0,,,,5.0,4.04,322.0,32.0,354.0,32.0,40.0,80.0,3.0,42.0,22.0,2,305.87,2016
Derrick Henry,2556075,RB,TEN,,,,490.0,5.0,13.0,137.0,,,,,,4.65,110.0,13.0,123.0,13.0,15.0,87.0,3.0,24.0,8.0,21,99.2,2016
Cordarrelle Patterson,2540145,RB,ATL,,,,43.0,,52.0,453.0,2.0,1.0,,,2.0,7.08,7.0,52.0,59.0,52.0,70.0,74.0,9.0,5.0,6.0,22,98.9,2016
Kyle Juszczyk,2540230,RB,SF,,,,22.0,1.0,37.0,266.0,,,,1.0,,4.09,5.0,37.0,42.0,37.0,49.0,76.0,6.0,5.0,2.0,24,62.9,2016
Ameer Abdullah,2552374,RB,CAR,,,,101.0,,5.0,57.0,1.0,,,,,11.46,18.0,5.0,23.0,5.0,5.0,100.0,1.0,3.0,,31,24.3,2016
Alvin Kamara,2558019,RB,NO,,,,728.0,8.0,81.0,826.0,5.0,1.0,,1.0,1.0,10.38,120.0,81.0,201.0,81.0,100.0,81.0,17.0,39.0,14.0,3,279.9,2017
Christian McCaffrey,2557997,RB,CAR,,,,435.0,2.0,80.0,651.0,5.0,,,,2.0,8.07,117.0,80.0,197.0,80.0,113.0,71.0,13.0,26.0,10.0,10,192.6,2017
Ezekiel Elliott,2555224,RB,DAL,,,,983.0,7.0,26.0,269.0,2.0,,,,1.0,8.53,242.0,26.0,268.0,26.0,38.0,68.0,3.0,43.0,18.0,11,190.2,2017
