PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints,Year
DeAndre Hopkins,2540165,WR,ARI,,,,,,111.0,1521.0,11.0,,,1.0,1.0,,,,,,,,,,,3,280.4,2015
Allen Robinson,2543509,WR,CHI,,,,,,80.0,1400.0,14.0,,,,,5.83,,80.0,80.0,80.0,151.0,53.0,21.0,14.0,13.0,4,265.7,2015
Brandin Cooks,2543498,WR,HOU,,,,18.0,,84.0,1138.0,9.0,,,,1.0,9.52,8.0,84.0,92.0,84.0,129.0,65.0,10.0,6.0,2.0,7,213.0,2015
Amari Cooper,2552487,WR,DAL,,,,-3.0,,72.0,1070.0,6.0,,,,1.0,8.65,3.0,72.0,75.0,72.0,130.0,55.0,8.0,4.0,,11,177.5,2015
Mike Evans,2543468,WR,TB,,,,,,65.0,1049.0,3.0,,,,1.0,6.74,,65.0,65.0,65.0,131.0,50.0,17.0,3.0,3.0,13,161.9,2015
Willie Snead,2550256,WR,CAR,,,,,,69.0,984.0,3.0,,,,2.0,7.16,,69.0,69.0,69.0,101.0,68.0,9.0,6.0,5.0,14,152.3,2015
Tyler Lockett,2552430,WR,SEA,,,,20.0,,44.0,597.0,6.0,1.0,,,2.0,8.18,5.0,44.0,49.0,44.0,58.0,76.0,4.0,4.0,,20,125.1,2015
Stefon Diggs,2552608,WR,BUF,,,,13.0,,52.0,720.0,4.0,,,,2.0,5.96,3.0,52.0,55.0,52.0,84.0,62.0,8.0,3.0,1.0,21,124.7,2015
Jamison Crowder,2552415,WR,NYJ,,,,2.0,,59.0,604.0,2.0,,,2.0,4.0,4.86,2.0,59.0,61.0,59.0,78.0,76.0,12.0,5.0,7.0,24,104.2,2015
Robert Woods,2540169,WR,LA,,,,,,47.0,552.0,3.0,,,,2.0,6.89,1.0,47.0,48.0,47.0,80.0,59.0,7.0,4.0,4.0,25,99.5,2015
Davante Adams,2543495,WR,GB,,,,,,50.0,483.0,1.0,,,1.0,,6.13,,50.0,50.0,50.0,94.0,53.0,13.0,6.0,4.0,27,83.0,2015
Nelson Agholor,2552600,WR,NE,,,,,,23.0,283.0,1.0,,,,1.0,8.06,,23.0,23.0,23.0,44.0,52.0,6.0,2.0,1.0,31,47.2,2015
Chris Conley,2552652,WR,HOU,,,,,,17.0,199.0,1.0,,,,,9.52,,17.0,17.0,17.0,31.0,55.0,4.0,3.0,2.0,33,41.2,2015
Adam Thielen,2541785,WR,MIN,,,,89.0,,12.0,144.0,,,,,,6.75,4.0,12.0,16.0,12.0,18.0,67.0,,,,34,41.2,2015
Mike Evans,2543468,WR,TB,,,,,,96.0,1321.0,12.0,,,2.0,,11.21,,96.0,96.0,96.0,173.0,55.0,19.0,9.0,7.0,1,257.8,2016
Davante Adams,2543495,WR,GB,,,,,,75.0,997.0,12.0,,,1.0,2.0,11.37,,75.0,75.0,75.0,121.0,62.0,23.0,14.0,11.0,6,210.6,2016
Brandin Cooks,2543498,WR,HOU,,,,30.0,,78.0,1173.0,8.0,,,,1.0,8.36,6.0,78.0,84.0,78.0,117.0,67.0,11.0,13.0,5.0,7,205.3,2016
Tyreek Hill,2556214,WR,KC,,,,267.0,3.0,61.0,593.0,6.0,3.0,,,4.0,,,,,,,,,,,8,191.7,2016
Amari Cooper,2552487,WR,DAL,,,,,,83.0,1153.0,5.0,,,2.0,2.0,11.01,1.0,83.0,84.0,83.0,132.0,63.0,13.0,5.0,7.0,9,188.5,2016
DeAndre Hopkins,2540165,WR,ARI,,,,,,78.0,954.0,4.0,,,,,,,,,,,,,,,14,168.6,2016
Adam Thielen,2541785,WR,MIN,,,,15.0,,69.0,967.0,5.0,,,,2.0,9.69,2.0,69.0,71.0,69.0,92.0,75.0,11.0,10.0,6.0,15,168.3,2016
Jamison Crowder,2552415,WR,NYJ,,,,-2.0,,67.0,847.0,7.0,1.0,,,2.0,10.01,2.0,67.0,69.0,67.0,99.0,68.0,17.0,9.0,7.0,16,163.7,2016
Allen Robinson,2543509,WR,CHI,,,,,,73.0,883.0,6.0,,,1.0,1.0,8.7,,73.0,73.0,73.0,151.0,48.0,19.0,9.0,9.0,17,163.5,2016
Willie Snead,2550256,WR,CAR,50.0,1.0,,,,72.0,895.0,4.0,,,,2.0,5.93,,72.0,72.0,72.0,104.0,69.0,12.0,8.0,8.0,18,157.4,2016
Sterling Shepard,2555295,WR,NYG,,,,31.0,,65.0,683.0,8.0,,,,,10.99,3.0,65.0,68.0,65.0,105.0,62.0,13.0,10.0,4.0,20,155.3,2016
Stefon Diggs,2552608,WR,BUF,,,,10.0,,84.0,903.0,3.0,,,,,7.69,3.0,84.0,87.0,84.0,112.0,75.0,12.0,12.0,3.0,23,153.0,2016
Tyler Lockett,2552430,WR,SEA,,,,114.0,1.0,41.0,597.0,1.0,,,,,8.48,6.0,41.0,47.0,41.0,66.0,62.0,5.0,4.0,3.0,30,103.6,2016
Robby Anderson,2556462,WR,CAR,,,,42.0,,42.0,587.0,2.0,,,,1.0,5.93,3.0,42.0,45.0,42.0,78.0,54.0,5.0,4.0,,31,102.4,2016
Tyler Boyd,2555466,WR,CIN,,,,58.0,,54.0,603.0,1.0,,,,1.0,8.48,4.0,54.0,58.0,54.0,81.0,67.0,10.0,5.0,3.0,32,98.8,2016
Robert Woods,2540169,WR,LA,,,,6.0,,51.0,613.0,1.0,,,,,7.62,1.0,51.0,52.0,51.0,76.0,67.0,8.0,5.0,7.0,33,93.4,2016
Chris Conley,2552652,WR,HOU,,,,,,44.0,530.0,,,,,1.0,8.36,,44.0,44.0,44.0,69.0,64.0,14.0,4.0,4.0,37,74.7,2016
Nelson Agholor,2552600,WR,NE,,,,14.0,,36.0,365.0,2.0,,,1.0,1.0,8.12,5.0,36.0,41.0,36.0,69.0,52.0,14.0,5.0,1.0,38,74.0,2016
Chris Moore,2555209,WR,HOU,,,,19.0,,7.0,46.0,,,,,1.0,8.36,3.0,7.0,10.0,7.0,16.0,44.0,,,,42,25.6,2016
Laquon Treadwell,2555214,WR,JAX,,,,,,1.0,15.0,,,,,,7.76,,1.0,1.0,1.0,3.0,33.0,1.0,,,49,3.7,2016
Damiere Byrd,2553499,WR,CHI,,,,,,1.0,16.0,,,,,,8.7,,1.0,1.0,1.0,1.0,100.0,,,,51,2.1,2016
DeAndre Hopkins,2540165,WR,ARI,,,,,,96.0,1378.0,13.0,,,,1.0,,,,,,,,,,,1,266.0,2017
Tyreek Hill,2556214,WR,KC,,,1.0,59.0,,75.0,1183.0,7.0,1.0,,,2.0,,,,,,,,,,,6,207.4,2017
Adam Thielen,2541785,WR,MIN,,,,11.0,,91.0,1276.0,4.0,,,,3.0,11.04,1.0,91.0,92.0,91.0,142.0,64.0,15.0,5.0,6.0,9,193.9,2017
Brandin Cooks,2543498,WR,HOU,,,,40.0,,65.0,1082.0,7.0,,,1.0,,10.62,9.0,65.0,74.0,65.0,114.0,57.0,12.0,10.0,4.0,11,190.4,2017
