PlayerName,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,Fum,TouchCarries,TouchReceptions,Targets,RzTouch,Rank
Dak Prescott DAL,851,4,2,0.0,0.0,0.0,0.0,0.0,0.0,122,0.0,0.0,0.0,1
Brock Purdy SF,842,4,1,0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,2
Geno Smith SEA,787,3,3,0.0,0.0,0.0,0.0,0.0,0.0,103,0.0,0.0,0.0,3
Jalen Hurts PHI,772,3,4,0.0,0.0,0.0,0.0,0.0,0.0,102,0.0,0.0,0.0,4
Matthew Stafford LAR,754,2,1,0.0,0.0,0.0,0.0,0.0,0.0,101,0.0,0.0,0.0,5
Gardner Minshew LV,747,3,3,0.0,0.0,0.0,0.0,0.0,0.0,99,0.0,0.0,0.0,6
Joe Burrow CIN,746,5,0,0.0,0.0,0.0,0.0,0.0,0.0,103,0.0,0.0,0.0,7
Jared Goff DET,723,3,4,0.0,0.0,0.0,0.0,0.0,0.0,106,0.0,0.0,0.0,8
C.J. Stroud HOU,709,4,2,0.0,0.0,0.0,0.0,0.0,0.0,99,0.0,0.0,0.0,9
Lamar Jackson BAL,702,3,1,0.0,0.0,0.0,0.0,0.0,0.0,90,0.0,0.0,0.0,10
Jayden Daniels WSH,664,2,0,0.0,0.0,0.0,0.0,0.0,0.0,76,0.0,0.0,0.0,11
Patrick Mahomes KC,659,5,4,0.0,0.0,0.0,0.0,0.0,0.0,92,0.0,0.0,0.0,12
Sam Darnold MIN,657,8,2,0.0,0.0,0.0,0.0,0.0,0.0,78,0.0,0.0,0.0,13
Baker Mayfield TB,637,6,2,0.0,0.0,0.0,0.0,0.0,0.0,82,0.0,0.0,0.0,14
Kyler Murray ARI,635,5,1,0.0,0.0,0.0,0.0,0.0,0.0,86,0.0,0.0,0.0,15
Josh Allen BUF,634,7,0,0.0,0.0,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,16
Caleb Williams CHI,630,2,4,0.0,0.0,0.0,0.0,0.0,0.0,118,0.0,0.0,0.0,17
Kirk Cousins ATL,626,4,3,0.0,0.0,0.0,0.0,0.0,0.0,84,0.0,0.0,0.0,18
Aaron Rodgers NYJ,624,5,1,0.0,0.0,0.0,0.0,0.0,0.0,86,0.0,0.0,0.0,19
Daniel Jones NYG,600,4,2,0.0,0.0,0.0,0.0,0.0,0.0,104,0.0,0.0,0.0,20
Bo Nix DEN,600,0,4,0.0,0.0,0.0,0.0,0.0,0.0,113,0.0,0.0,0.0,20
Derek Carr NO,585,6,2,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,22
Anthony Richardson IND,583,3,6,0.0,0.0,0.0,0.0,0.0,0.0,73,0.0,0.0,0.0,23
Will Levis TEN,579,4,5,0.0,0.0,0.0,0.0,0.0,0.0,94,0.0,0.0,0.0,24
Trevor Lawrence JAX,560,2,1,0.0,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,0.0,25
Deshaun Watson CLE,551,3,2,0.0,0.0,0.0,0.0,0.0,0.0,116,0.0,0.0,0.0,26
Justin Fields PIT,518,2,1,0.0,0.0,0.0,0.0,0.0,0.0,75,0.0,0.0,0.0,27
Tua Tagovailoa MIA,399,4,1,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,28
Justin Herbert LAC,368,1,0,0.0,0.0,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,29
Jacoby Brissett NE,324,2,0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,30
Malik Willis GB,319,3,0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,31
Andy Dalton CAR,260,2,1,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,32
Jordan Love GB,245,0,3,0.0,0.0,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,33
Bryce Young CAR,187,0,0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,34
Skylar Thompson MIA,82,1,0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,35
Aidan O'Connell LV,79,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,36
Tim Boyle MIA,79,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,37
