PlayerName,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,Fum,TouchCarries,TouchReceptions,Targets,RzTouch,Rank
Saquon Barkley PHI,0.0,0.0,0.0,351,4,0.0,0.0,0.0,0,63,0.0,0.0,0.0,1
Jordan Mason SF,0.0,0.0,0.0,324,2,0.0,0.0,0.0,1,67,0.0,0.0,0.0,2
J.K. Dobbins LAC,0.0,0.0,0.0,310,2,0.0,0.0,0.0,0,42,0.0,0.0,0.0,3
Alvin Kamara NO,0.0,0.0,0.0,285,4,0.0,0.0,0.0,0,61,0.0,0.0,0.0,4
Derrick Henry BAL,0.0,0.0,0.0,281,4,0.0,0.0,0.0,0,56,0.0,0.0,0.0,5
Josh Jacobs GB,0.0,0.0,0.0,278,0,0.0,0.0,0.0,2,62,0.0,0.0,0.0,6
Jonathan Taylor IND,0.0,0.0,0.0,261,3,0.0,0.0,0.0,0,51,0.0,0.0,0.0,7
David Montgomery DET,0.0,0.0,0.0,231,3,0.0,0.0,0.0,0,51,0.0,0.0,0.0,9
Aaron Jones MIN,0.0,0.0,0.0,224,2,0.0,0.0,0.0,3,52,0.0,0.0,0.0,10
Rhamondre Stevenson NE,0.0,0.0,0.0,209,0,0.0,0.0,0.0,0,55,0.0,0.0,0.0,11
Najee Harris PIT,0.0,0.0,0.0,207,1,0.0,0.0,0.0,0,40,0.0,0.0,0.0,12
Jahmyr Gibbs DET,0.0,0.0,0.0,206,2,0.0,0.0,0.0,0,45,0.0,0.0,0.0,13
Brian Robinson Jr. WSH,0.0,0.0,0.0,197,2,0.0,0.0,0.0,2,42,0.0,0.0,0.0,14
Devin Singletary NYG,0.0,0.0,0.0,196,1,0.0,0.0,0.0,0,48,0.0,0.0,0.0,15
Bijan Robinson ATL,0.0,0.0,0.0,192,0,0.0,0.0,0.0,0,37,0.0,0.0,0.0,16
Chuba Hubbard CAR,0.0,0.0,0.0,189,2,0.0,0.0,0.0,1,46,0.0,0.0,0.0,17
James Conner ARI,0.0,0.0,0.0,188,3,0.0,0.0,0.0,0,41,0.0,0.0,0.0,18
Joe Mixon HOU,0.0,0.0,0.0,170,2,0.0,0.0,0.0,1,46,0.0,0.0,0.0,20
Breece Hall NYJ,0.0,0.0,0.0,164,4,0.0,0.0,0.0,0,54,0.0,0.0,0.0,22
Tony Pollard TEN,0.0,0.0,0.0,150,1,0.0,0.0,0.0,0,43,0.0,0.0,0.0,26
Bucky Irving TB,0.0,0.0,0.0,145,1,0.0,0.0,0.0,0,29,0.0,0.0,0.0,27
Jerome Ford CLE,0.0,0.0,0.0,143,0,0.0,0.0,0.0,0,23,0.0,0.0,0.0,29
Antonio Gibson NE,0.0,0.0,0.0,136,2,0.0,0.0,0.0,0,33,0.0,0.0,0.0,30
Zach Charbonnet SEA,0.0,0.0,0.0,135,1,0.0,0.0,0.0,0,34,0.0,0.0,0.0,32
Malik Willis GB,0.0,0.0,0.0,106,0,0.0,0.0,0.0,0,19,0.0,0.0,0.0,36
Ty Chandler MIN,0.0,0.0,0.0,105,0,0.0,0.0,0.0,0,21,0.0,0.0,0.0,37
Emanuel Wilson GB,0.0,0.0,0.0,102,0,0.0,0.0,0.0,1,32,0.0,0.0,0.0,40
Chase Brown CIN,0.0,0.0,0.0,99,0,0.0,0.0,0.0,1,26,0.0,0.0,0.0,41
Kenneth Walker III SEA,0.0,0.0,0.0,96,1,0.0,0.0,0.0,0,19,0.0,0.0,0.0,42
Zamir White LV,0.0,0.0,0.0,94,0,0.0,0.0,0.0,0,32,0.0,0.0,0.0,43
Gus Edwards LAC,0.0,0.0,0.0,88,0,0.0,0.0,0.0,0,23,0.0,0.0,0.0,46
