0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
RK,PLAYER,TEAM,—,RESULT,REC,YDS),AVG,TD,LNG,FUM,,,,
1,Jayden,"Reed,",WR,ce,L,34-29,at,PH,4,1380,34500,70,°,
2,Tyreek,"Hill,",WR,MIA,W,20-17,vs.,JAX,7,1300,186,01,80,°
3,Alec,"Pierce,",WR,IND,23-27,vs.,HOU,31s,447,at,60,°,,
4,Jameson,"Williams,",WR.,DET,——W26-20,vs.,LAR,5,428242,52,°,,,
5,AJ.,"Brown,",WR,PHI,W,34-29,vs.,GB,5,119,238,7,°,
6,Nico,"Collins,",WR,HOU,W,29-27,at,IND,6,7,195,0,55,°
7,Isaiah,"Likely,",TE,BAL,©,L.27-20,at,KC,9,an,23k,43,°,
8,Cooper,"Kupp,",WR,LAR.,26-20,at,DET,14,110,74,21,°,,
9,Jaylen,"Waddle,",WR,MIA,W,20-17,vs.,JAX,5,109,218,0,63,°
10,ashe,"Rice,",WR.,ke,W,27-20,vs.,BAL,7,103,«147,0,33,°
11,Allen,"Lazard,",WR,nwa,L32-19,at,SF,6,89,148,2,36,°,
12,George,"Pickens,",WR,PIT,W,18-10,at,ATL,6,85,14.200,40,°,
13.,DeVonta,"Smith,",WR,PHI,W,34-29,vs.,GB,7,84,12020,25,°,
14,Chris,"Godwin,",WR,8,W,37-20,vs.,WSH,8,83,1041,24,°,
15,Tyler,"Johnson,",WR.,LAR,26-20,at,DET,5,7,158,0,63,°,
16,Tyler,"Lockett,",WR.,SEA,W,26-20,vs.,DEN,6,7,128,00,19,°
17,De'Von,"Achane,",RB,MIA,W,20-17,vs.,JAX,7,7,#4109,«(0,38,°
18,Rachaad,"White,",RB,8,W,37-20,vs.,WSH,6,7,125,0,32,°
19,Rashid,"Shaheed,",WR,No,W,47-10,vs.,CAR,3,73,24300,58,°,
20,Malik,"Nabers,",WR,NYG,L.28-6,vs.,MIN,5,66,13200,25,°,,
21,Jauan,"Jennings,",WR,SF,W,32-19,vs.,NY,5,64,128,00,22,°
22,Ja’Marr,"Chase,",WR,cIN,L,16-10,vs.,NE,6,62,103,0,28,°
23,Gabe,"Davis,",WR,"ax,",L,20-17,at,MIA,3,62,27,0,22,°
24,Mike,"Evans,",WR,8,W,37-20,vs.,WSH,5,61,12202,24,°,
25,CeeDee,"Lamb,",WR.,DAL,=,W33-17,at,CLE,5,61,1220,«0,34,°
26,Jakobi,"Meyers,",WR,Ww,L,22-40,at,LAC,3,61,203,0,33,°
27,Garrett,"Wilson,",WR,na,L,32-19,at,SF,6,6,100,oO,16,°
28,_Davante,"Adams,",WR,Ww,L,22-10,at,LAC,5,59,1180,23,°,
29,Justin,"Jefferson,",WR,MIN,W,28-6,at,NYG,4,59,148,44,°,
30,Brock,"Bowers,",TE,Ww,22-10,at,LAC,6,58,a7,0,26,°,
