PlayerName,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,Fum,TouchCarries,TouchReceptions,Targets,RzTouch,Rank
Nico Collins HOU,0.0,0.0,0.0,0.0,0.0,18,338,1,0,0.0,0.0,28,0.0,1
Rashee Rice KC,0.0,0.0,0.0,0.0,0.0,24,288,2,0,0.0,0.0,29,0.0,2
Jauan Jennings SF,0.0,0.0,0.0,0.0,0.0,18,276,3,0,0.0,0.0,21,0.0,3
Justin Jefferson MIN,0.0,0.0,0.0,0.0,0.0,14,273,3,0,0.0,0.0,21,0.0,4
Malik Nabers NYG,0.0,0.0,0.0,0.0,0.0,23,271,3,0,0.0,0.0,37,0.0,5
DK Metcalf SEA,0.0,0.0,0.0,0.0,0.0,17,262,2,0,0.0,0.0,24,0.0,6
Chris Godwin TB,0.0,0.0,0.0,0.0,0.0,21,253,3,0,0.0,0.0,25,0.0,7
Dallas Goedert PHI,0.0,0.0,0.0,0.0,0.0,17,239,0,0,0.0,0.0,20,0.0,8
DeVonta Smith PHI,0.0,0.0,0.0,0.0,0.0,21,239,0,0,0.0,0.0,28,0.0,8
Alec Pierce IND,0.0,0.0,0.0,0.0,0.0,13,218,1,1,0.0,0.0,24,0.0,10
CeeDee Lamb DAL,0.0,0.0,0.0,0.0,0.0,16,215,2,0,0.0,0.0,18,0.0,11
Ja'Marr Chase CIN,0.0,0.0,0.0,0.0,0.0,18,209,1,0,0.0,0.0,27,0.0,12
Davante Adams LV,0.0,0.0,0.0,0.0,0.0,11,209,1,0,0.0,0.0,23,0.0,12
Jameson Williams DET,0.0,0.0,0.0,0.0,0.0,21,207,1,0,0.0,0.0,32,0.0,13
Amon-Ra St. Brown DET,0.0,0.0,0.0,0.0,0.0,10,198,3,0,0.0,0.0,22,0.0,15
Marvin Harrison Jr. ARI,0.0,0.0,0.0,0.0,0.0,10,197,1,0,0.0,0.0,14,0.0,16
Jayden Reed GB,0.0,0.0,0.0,0.0,0.0,18,197,0,0,0.0,0.0,21,0.0,17
Brock Bowers LV,0.0,0.0,0.0,0.0,0.0,13,194,1,0,0.0,0.0,23,0.0,17
Tyreek Hill MIA,0.0,0.0,0.0,0.0,0.0,11,189,1,0,0.0,0.0,17,0.0,19
Brian Thomas Jr. JAX,0.0,0.0,0.0,0.0,0.0,12,178,1,0,0.0,0.0,14,0.0,20
Chris Olave NO,0.0,0.0,0.0,0.0,0.0,13,176,0,0,0.0,0.0,14,0.0,21
Jaylen Waddle MIA,0.0,0.0,0.0,0.0,0.0,17,175,0,0,0.0,0.0,21,0.0,22
Jaxon Smith-Njigba SEA,0.0,0.0,0.0,0.0,0.0,11,174,0,0,0.0,0.0,15,0.0,23
Josh Reynolds DEN,0.0,0.0,0.0,0.0,0.0,17,173,1,0,0.0,0.0,19,0.0,24
De'Von Achane MIA,0.0,0.0,0.0,0.0,0.0,13,171,0,0,0.0,0.0,17,0.0,25
George Pickens PIT,0.0,0.0,0.0,0.0,0.0,7,169,2,0,0.0,0.0,14,0.0,26
Rashid Shaheed NO,0.0,0.0,0.0,0.0,0.0,12,169,1,0,0.0,0.0,18,0.0,27
Darnell Mooney ATL,0.0,0.0,0.0,0.0,0.0,14,168,2,0,0.0,0.0,14,0.0,27
Khalil Shakir BUF,0.0,0.0,0.0,0.0,0.0,19,167,0,0,0.0,0.0,28,0.0,29
DJ Moore CHI,0.0,0.0,0.0,0.0,0.0,20,164,2,0,0.0,0.0,24,0.0,30
Stefon Diggs HOU,0.0,0.0,0.0,0.0,0.0,13,164,0,0,0.0,0.0,19,0.0,31
Deebo Samuel SF,0.0,0.0,0.0,0.0,0.0,14,156,0,0,0.0,0.0,18,0.0,31
Mike Gesicki CIN,0.0,0.0,0.0,0.0,0.0,13,156,1,0,0.0,0.0,26,0.0,33
Diontae Johnson CAR,0.0,0.0,0.0,0.0,0.0,9,156,1,1,0.0,0.0,20,0.0,33
Rome Odunze CHI,0.0,0.0,0.0,0.0,0.0,14,152,1,0,0.0,0.0,17,0.0,33
Jakobi Meyers LV,0.0,0.0,0.0,0.0,0.0,15,150,1,0,0.0,0.0,26,0.0,36
Garrett Wilson NYJ,0.0,0.0,0.0,0.0,0.0,11,148,3,0,0.0,0.0,16,0.0,37
Allen Lazard NYJ,0.0,0.0,0.0,0.0,0.0,16,148,1,0,0.0,0.0,25,0.0,38
Zay Flowers BAL,0.0,0.0,0.0,0.0,0.0,18,147,1,0,0.0,0.0,27,0.0,39
Cooper Kupp LAR,0.0,0.0,0.0,0.0,0.0,7,141,0,0,0.0,0.0,9,0.0,40
Tutu Atwell LAR,0.0,0.0,0.0,0.0,0.0,12,141,1,0,0.0,0.0,16,0.0,41
Isaiah Likely BAL,0.0,0.0,0.0,0.0,0.0,12,139,2,0,0.0,0.0,17,0.0,41
Terry McLaurin WSH,0.0,0.0,0.0,0.0,0.0,13,138,0,0,0.0,0.0,17,0.0,43
Tyler Lockett SEA,0.0,0.0,0.0,0.0,0.0,12,136,0,0,0.0,0.0,18,0.0,44
Hunter Henry NE,0.0,0.0,0.0,0.0,0.0,8,136,1,0,0.0,0.0,16,0.0,45
Calvin Ridley TEN,0.0,0.0,0.0,0.0,0.0,10,136,1,0,0.0,0.0,16,0.0,45
Jalen Tolbert DAL,0.0,0.0,0.0,0.0,0.0,14,136,2,0,0.0,0.0,19,0.0,45
